freq_hz,amp,phase_rad
39.95,2.471286046842653,0.18030944897921178
20.0,1.3985319406615084,-2.243742711089473
19.950000000000003,0.9315359422393928,0.8948118521446973
40.0,0.6437964406956448,-3.1234846916830286
20.05,0.4115858652219164,-2.1619493034817934
39.900000000000006,0.38551631226649036,0.5240832061151863
40.050000000000004,0.3700521656936903,-2.874019159994504
59.95,0.33659802734803307,-0.026809771900816532
19.900000000000002,0.32232502976744976,1.057428421986584
39.85,0.280737203284444,0.28571446611867213
20.1,0.2339161254794345,-2.161902543706202
40.1,0.23013935148995573,-2.7660552999280945
19.85,0.21045130668862908,1.027589251240168
39.800000000000004,0.21044458880452457,0.32175023652181867
19.8,0.1640879296506552,0.9852466156455031
20.150000000000002,0.1618883135287587,-2.0614092911392716
39.75,0.14809534705831423,-0.14024297807733802
20.200000000000003,0.13959717665822438,-2.090134946771615
40.150000000000006,0.1385100685697948,-2.678096548829919
19.75,0.12395489364774594,0.7479260164672323
79.9,0.1199381050983605,1.78739255044004
39.7,0.11271900039706886,0.22958687014282847
20.25,0.111370349216573,-2.051920616123281
19.700000000000003,0.10658480137188588,0.6338693764139932
79.95,0.10594190874439302,-1.4393604886341904
40.2,0.1020836184110095,-2.9784469640949864
39.650000000000006,0.09824122916991393,0.5109875165945327
40.25,0.0946185743643229,-3.1007375454939345
20.35,0.08877780742119393,-2.082849204857127
99.9,0.08617871187963427,1.9295481258443186
27.8,0.08396752706273623,0.4332232454756364
19.650000000000002,0.08359580721033517,0.8533511829163084
39.6,0.08350040620978041,0.22668692142017902
60.0,0.08212609366279154,0.1577212206280877
20.3,0.0798343778055367,-2.097748404507225
39.550000000000004,0.07945058977468301,0.32190200940089847
20.55,0.0778940261915857,-2.1900640491992016
59.900000000000006,0.07725771365185945,2.906298828701388
40.35,0.07530056696200751,-2.6962891540485088
19.400000000000002,0.07463814940151395,0.6226868901106235
